Age,Gender,Occupation,Income,Product_Category,Purchased
55,Male,Unemployed,17089,Electronics,0
18,Female,Unemployed,42259,Cosmetics,1
44,Male,Self-employed,48019,Health,0
32,Female,Student,79192,Clothing,1
24,Male,Employee,47559,Electronics,1
46,Female,Unemployed,38357,Books,0
48,Male,Self-employed,88705,Cosmetics,0
51,Male,Unemployed,68961,Groceries,1
19,Female,Employee,13458,Books,0
45,Male,Self-employed,25994,Books,0
27,Female,Employee,47586,Groceries,1
32,Male,Unemployed,48314,Groceries,1
23,Male,Unemployed,33260,Books,0
63,Male,Student,89376,Clothing,1
27,Female,Self-employed,87826,Health,0
27,Female,Student,48169,Cosmetics,1
64,Female,Student,58564,Cosmetics,1
58,Female,Employee,55994,Cosmetics,1
23,Male,Unemployed,56784,Books,0
15,Male,Self-employed,88281,Books,0
44,Male,Self-employed,18411,Health,0
25,Male,Employee,69025,Clothing,1
28,Female,Self-employed,56164,Health,0
30,Male,Student,55144,Clothing,1
56,Male,Student,13518,Books,1
47,Male,Student,58934,Health,1
34,Female,Student,76322,Clothing,1
41,Female,Self-employed,32681,Groceries,1
56,Female,Self-employed,15498,Electronics,0
49,Female,Unemployed,81292,Electronics,0
62,Female,Employee,29401,Groceries,1
39,Male,Employee,91577,Health,0
38,Female,Employee,19251,Clothing,0
19,Female,Self-employed,65277,Cosmetics,1
44,Female,Self-employed,50463,Clothing,1
24,Male,Self-employed,71909,Cosmetics,0
53,Male,Student,13561,Electronics,0
31,Female,Unemployed,61565,Electronics,0
50,Female,Unemployed,69288,Health,1
59,Male,Student,77051,Books,0
21,Female,Unemployed,87664,Books,0
39,Male,Self-employed,11228,Cosmetics,0
47,Male,Unemployed,44037,Health,1
29,Male,Self-employed,23947,Groceries,1
62,Female,Student,85282,Books,0
55,Male,Student,59235,Books,0
60,Female,Student,25083,Groceries,1
43,Female,Student,63603,Electronics,0
45,Female,Self-employed,29547,Cosmetics,1
17,Male,Self-employed,89331,Clothing,1
30,Female,Employee,58828,Books,0
62,Male,Self-employed,30672,Health,1
27,Male,Unemployed,13670,Groceries,0
28,Male,Employee,35904,Health,0
50,Female,Unemployed,74251,Clothing,1
56,Male,Self-employed,95544,Books,0
55,Male,Student,24041,Groceries,1
27,Female,Unemployed,31695,Electronics,0
42,Male,Student,77072,Books,0
21,Male,Unemployed,23072,Books,0
42,Female,Unemployed,42480,Electronics,0
18,Male,Student,19880,Electronics,0
17,Female,Unemployed,99250,Health,0
46,Female,Self-employed,60147,Health,1
63,Male,Employee,11651,Books,0
65,Male,Employee,14242,Groceries,0
24,Male,Employee,15728,Books,0
36,Male,Self-employed,43330,Electronics,1
19,Female,Student,27558,Books,1
52,Female,Unemployed,73667,Cosmetics,1
16,Female,Student,78664,Groceries,1
40,Male,Unemployed,49104,Electronics,0
45,Male,Self-employed,65084,Clothing,1
27,Male,Unemployed,47813,Cosmetics,0
59,Female,Self-employed,23947,Electronics,0
25,Male,Unemployed,65939,Cosmetics,0
47,Female,Unemployed,55445,Groceries,1
57,Female,Student,60035,Electronics,0
59,Female,Student,54936,Electronics,0
20,Male,Student,81113,Electronics,0
34,Female,Self-employed,33762,Health,0
50,Male,Employee,87273,Groceries,1
39,Female,Student,31350,Clothing,1
15,Male,Self-employed,64717,Health,0
30,Female,Self-employed,44444,Books,0
25,Male,Employee,33144,Books,0
59,Male,Unemployed,13479,Health,1
47,Female,Unemployed,93702,Books,0
38,Female,Student,39118,Health,0
16,Male,Employee,25469,Electronics,0
25,Male,Unemployed,32990,Groceries,1
22,Male,Unemployed,89851,Health,0
18,Female,Student,44287,Books,0
19,Female,Student,79203,Groceries,1
18,Male,Unemployed,58205,Groceries,1
37,Male,Employee,41943,Books,0
50,Male,Student,38739,Books,0
28,Female,Student,43841,Electronics,0
28,Male,Unemployed,96304,Electronics,0
16,Male,Employee,49661,Books,0
25,Female,Student,35699,Books,0
17,Male,Employee,84018,Books,0
35,Female,Student,29574,Health,0
56,Male,Student,91116,Clothing,1
64,Female,Student,14836,Electronics,0
63,Female,Student,61730,Clothing,1
30,Male,Student,40369,Cosmetics,0
48,Male,Student,55586,Clothing,1
49,Female,Employee,88950,Electronics,1
38,Male,Unemployed,88896,Clothing,1
59,Male,Employee,56892,Clothing,1
54,Female,Self-employed,58190,Electronics,1
58,Female,Unemployed,37337,Electronics,0
25,Male,Employee,55026,Clothing,1
35,Female,Self-employed,11842,Cosmetics,0
36,Female,Self-employed,11186,Cosmetics,0
46,Male,Employee,51549,Groceries,1
43,Female,Student,79920,Cosmetics,1
17,Female,Self-employed,64200,Cosmetics,1
39,Male,Self-employed,45599,Health,0
50,Female,Self-employed,25203,Books,0
55,Male,Unemployed,11982,Electronics,0
27,Male,Employee,63141,Books,0
53,Male,Unemployed,30626,Cosmetics,0
51,Female,Self-employed,97106,Groceries,1
31,Male,Unemployed,50469,Books,0
43,Female,Unemployed,41136,Cosmetics,1
39,Female,Student,74480,Electronics,0
57,Male,Employee,25673,Groceries,1
37,Male,Employee,56027,Groceries,1
33,Male,Unemployed,98017,Cosmetics,0
60,Female,Unemployed,87760,Clothing,1
28,Male,Unemployed,71185,Books,0
25,Male,Student,40257,Books,0
17,Female,Employee,68946,Health,0
17,Male,Employee,88134,Electronics,1
43,Male,Employee,61767,Books,0
48,Male,Employee,64717,Health,1
64,Female,Unemployed,41610,Books,0
20,Female,Student,54511,Electronics,0
34,Female,Student,32364,Groceries,1
41,Female,Student,90139,Electronics,0
40,Female,Unemployed,81455,Groceries,1
24,Female,Unemployed,92671,Cosmetics,1
19,Male,Self-employed,27843,Clothing,1
21,Female,Student,82256,Electronics,0
43,Female,Unemployed,27234,Health,0
54,Female,Employee,15470,Groceries,1
40,Female,Employee,14898,Clothing,0
48,Female,Unemployed,40214,Health,1
31,Male,Student,54967,Electronics,0
34,Male,Student,89518,Clothing,1
21,Male,Self-employed,21780,Electronics,0
34,Female,Self-employed,61606,Electronics,1
19,Male,Employee,23841,Electronics,0
33,Female,Self-employed,38860,Cosmetics,1
41,Female,Employee,46443,Groceries,1
56,Female,Employee,39151,Health,1
60,Female,Employee,79283,Books,0
43,Male,Unemployed,56487,Cosmetics,0
60,Female,Employee,15527,Books,0
48,Male,Student,61590,Health,1
21,Male,Unemployed,17801,Electronics,0
16,Male,Employee,63822,Health,0
27,Male,Unemployed,51804,Electronics,0
23,Male,Unemployed,74323,Books,0
